Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0117P0,KR70117P0005,피스피스스튜디오,KOSDAQ,중견기업부,5640,1,70,1.26,5540,5690,5470,125243,698531445,79912658040,14168911,KSQ
045970,KR7045970001,코아시아,KOSDAQ,중견기업부,3035,2,-125,-3.96,3160,3160,2970,67616,205843063,79865648660,26314876,KSQ
058400,KR7058400003,KNN,KOSDAQ,우량기업부,6030,1,40,0.67,5990,6040,5960,7711,46294110,79855121160,13242972,KSQ
104460,KR7104460001,디와이피엔에프,KOSDAQ,우량기업부,7580,1,40,0.53,7560,7640,7490,4013,30330750,79727205580,10518101,KSQ
048910,KR7048910004,대원미디어,KOSDAQ,우량기업부,6320,1,150,2.43,6130,6340,6130,30519,189905025,79498938720,12578946,KSQ
217190,KR7217190008,제너셈,KOSDAQ,벤처기업부,6040,1,100,1.68,5940,6200,5830,60242,361343260,79448716440,13153761,KSQ
089230,KR7089230007,THE E&M,KOSDAQ,중견기업부,2010,1,11,0.55,2010,2105,2000,173499,353547500,79236921540,39421354,KSQ
950250,KR8826050005,테라뷰,KOSDAQ,기술성장기업부,2230,2,-10,-0.45,2295,2295,2200,91051,203028344,79204540130,35517731,KSQ
053280,KR7053280004,예스24,KOSDAQ,중견기업부,3155,2,-5,-0.16,3130,3165,3130,6866,21550680,78875000000,25000000,KSQ
175250,KR7175250000,아이큐어,KOSDAQ,관리종목(소속부없음),2100,2,-10,-0.47,2080,2240,1778,1824278,3527685395,78872572800,37558368,KSQ
321370,KR7321370009,센서뷰,KOSDAQ,기술성장기업부,1116,1,48,4.49,1080,1119,1059,1109082,1209579450,78814432116,70622251,KSQ
066700,KR7066700006,테라젠이텍스,KOSDAQ,중견기업부,2120,3,0,0.0,2115,2130,2085,47072,99169755,78763037120,37152376,KSQ
011370,KR7011370004,서한,KOSDAQ,우량기업부,3890,1,55,1.43,3845,3900,3805,12676,48775731,78496204970,20178973,KSQ
337930,KR7337930002,젝시믹스,KOSDAQ,우량기업부,2645,1,40,1.54,2605,2665,2600,61717,161684322,78494276375,29676475,KSQ
381620,KR7381620004,제닉스로보틱스,KOSDAQ,중견기업부,5980,1,300,5.28,5700,6080,5700,52962,315437640,78445161600,13117920,KSQ
