Code,Name,Market,Close,ChagesRatio,Volume,Amount,Marcap,Foreign_Net,Institutional_Net,Program_Net,Total_Combined_Net,FDR_Sector,FDR_Industry
066570,LG전자,KOSPI,205000.0,-4.21,596694.0,122322270000.0,33391400000000.0,-70297,-43313,0,-113610,,
014950,삼익제약,KOSDAQ,8750.0,-0.34,13007680.0,113817200000.0,88100000000.0,-35315,-66783,0,-102098,,
162300,신스틸,KOSDAQ,2470.0,16.24,26598597.0,65698534590.0,102400000000.0,149257,-1798,0,147459,,
459550,알트,KOSDAQ,2705.0,1.88,15695960.0,42457571800.0,68200000000.0,-206389,-2582,0,-208971,,
251340,KODEX 코스닥150선물인버스,KOSPI,2485.0,2.69,25975326.0,64548685110.0,109800000000.0,-1246742,2152925,0,906183,,
189860,서전기전,KOSDAQ,5750.0,29.8,5307586.0,30518619500.0,55800000000.0,-139250,9611,0,-129639,,
452190,한빛레이저,KOSDAQ,4500.0,10.7,11158602.0,50213709000.0,107600000000.0,-149648,-238,0,-149886,,
228340,동양파일,KOSDAQ,4295.0,-0.35,9075338.0,38978576710.0,85900000000.0,-134630,5000,0,-129630,,
053260,금강철강,KOSDAQ,6660.0,3.9,7800579.0,51951856140.0,124700000000.0,-8432,516,0,-7916,,
001210,금호전기,KOSPI,12310.0,-2.92,5081864.0,62557745840.0,152300000000.0,-5504,52,0,-5452,,
365660,레몬헬스케어,KOSDAQ,5010.0,7.86,5500932.0,27559669320.0,67400000000.0,234225,-834,0,233391,,
012210,삼미금속,KOSDAQ,10030.0,-1.67,8745046.0,87712811380.0,231200000000.0,-9662,1204,0,-8458,,
387690,레메디,KOSDAQ,17610.0,-2.92,2546099.0,44836803390.0,134300000000.0,4170,-6325,0,-2155,,
024060,흥구석유,KOSDAQ,11990.0,6.77,4780218.0,57314813820.0,179800000000.0,-383775,10402,0,-373373,,
049080,기가레인,KOSDAQ,8330.0,6.93,2221922.0,18508610260.0,70700000000.0,-38871,0,0,-38871,,
017900,광전자,KOSPI,8180.0,15.37,14453226.0,118227388680.0,474000000000.0,-27381,-3783,0,-31164,,
417030,니어스랩,KOSDAQ,33450.0,7.73,1382721.0,46252017450.0,193300000000.0,181053,-118579,0,62474,,
072950,빛샘전자,KOSDAQ,8640.0,3.35,1875492.0,16204250880.0,69600000000.0,-119710,-265,0,-119975,,
046120,오르비텍,KOSDAQ,6050.0,29.83,7811295.0,47258334750.0,204800000000.0,-318716,-28091,0,-346807,,
302430,이노메트리,KOSDAQ,7770.0,13.1,2262944.0,17583074880.0,76200000000.0,-55772,-5572,0,-61344,,
475040,스트라드비젼,KOSDAQ,3350.0,19.22,10721733.0,35917805550.0,180300000000.0,-143818,-108464,0,-252282,,
