종목/종류,지수,등락률,추이,외국인(억),개인(억),기관(억)
코스피,"7,139.23",+1.73%,▲,628,-547,-115
코스닥,840.45,+0.73%,▲,-103,276,-116
USD/KRW,"1,351.08",-1.65%,▼,-,-,-
