Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,lateInfoMsgCd
006800,KR7006800007,미래에셋증권,KOSPI,,33350,1,1400,4.38,32650,34750,32600,1219487,41197619650,18109752050850,543021051,STK,ME005
051910,KR7051910008,LG화학,KOSPI,,256500,2,-2000,-0.77,261000,261500,256000,71631,18467254500,18106935979500,70592343,STK,ME005
033780,KR7033780008,KT&G,KOSPI,,170400,2,-3400,-1.96,173800,174200,170000,110686,18985643200,17689301702400,103810456,STK,ME005
003550,KR7003550001,LG,KOSPI,,116800,1,5500,4.94,113400,116900,113000,102098,11707380450,17659226067200,151192004,STK,ME005
018260,KR7018260000,삼성에스디에스,KOSPI,,226500,1,2000,0.89,227500,229500,225500,53712,12201397000,17526071700000,77377800,STK,ME005
010950,KR7010950004,S-Oil,KOSPI,,150400,2,-3500,-2.27,147400,156900,147400,224185,33704550350,16932451916800,112582792,STK,ME005
267250,KR7267250009,HD현대,KOSPI,,206000,2,-5000,-2.37,209000,213000,205000,69765,14600191500,16272575510000,78993085,STK,ME005
024110,KR7024110009,기업은행,KOSPI,,20050,1,50,0.25,20150,20150,20000,269325,5397854550,15988388673450,797425869,STK,ME005
003670,KR7003670007,포스코퓨처엠,KOSPI,,178200,1,100,0.06,180100,181300,177500,54943,9817276000,15850216404000,88946220,STK,ME005
079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,714000,2,-11000,-1.52,728000,728000,707000,34343,24604547000,15708000000000,22000000,STK,ME005
086280,KR7086280005,현대글로비스,KOSPI,,204500,1,1500,0.74,204000,208500,201500,73567,14983505000,15337500000000,75000000,STK,ME005
035720,KR7035720002,카카오,KOSPI,,34150,1,950,2.86,33500,34600,33400,922232,31422233075,15128446687450,442999903,STK,ME005
000720,KR7000720003,현대건설,KOSPI,,130200,1,4600,3.66,130600,134100,125700,513300,66775584700,14498520603000,111355765,STK,ME005
272210,KR7272210006,한화시스템,KOSPI,,76500,3,0,0.0,76700,77300,75600,171761,13145462900,14452333258500,188919389,STK,ME005
278470,KR7278470000,에이피알,KOSPI,,362000,2,-4000,-1.09,364500,367500,358000,97082,35227875750,13552612110000,37438155,STK,ME005
030200,KR7030200000,KT,KOSPI,,53000,2,-100,-0.19,53200,53800,52900,87644,4670777400,13357149305000,252021685,STK,ME005
011070,KR7011070000,LG이노텍,KOSPI,,553000,1,34000,6.55,538000,558000,538000,136615,75252966000,13087910171000,23667107,STK,ME005
064350,KR7064350002,현대로템,KOSPI,,118800,3,0,0.0,120000,120000,118000,122136,14518845900,12966104408400,109142293,STK,ME005
047810,KR7047810007,한국항공우주,KOSPI,,130300,1,700,0.54,130200,131500,130100,53011,6924622450,12701006442100,97475107,STK,ME005
005830,KR7005830005,DB손해보험,KOSPI,,183100,2,-5200,-2.76,188200,188900,182900,78948,14555653600,11993113901900,65500349,STK,ME005
003490,KR7003490000,대한항공,KOSPI,,30550,1,1700,5.89,29250,30600,29150,2467978,74334345425,11249139604950,368220609,STK,ME005
307950,KR7307950006,현대오토에버,KOSPI,,390500,1,29500,8.17,370000,402000,370000,90312,35115740000,10709064971000,27423982,STK,ME005
443060,KR7443060009,HD현대마린솔루션,KOSPI,,233500,3,0,0.0,234500,236500,231000,17598,4118102250,10468612910000,44833460,STK,ME005
071050,KR7071050009,한국금융지주,KOSPI,,187000,1,2600,1.41,186500,193200,185600,125125,23650741000,10420760504000,55725992,STK,ME005
006260,KR7006260004,LS,KOSPI,,333000,1,10500,3.26,331500,338000,323000,61216,20319035750,10389600000000,31200000,STK,ME005
078930,KR7078930005,GS,KOSPI,,108900,2,-4400,-3.88,111800,113400,105300,258856,28359750100,10116319405500,92895495,STK,ME005
028050,KR7028050003,삼성E&A,KOSPI,,51500,2,-500,-0.96,52600,53200,51300,884279,46049140950,10094000000000,196000000,STK,ME005
047050,KR7047050000,포스코인터내셔널,KOSPI,,56700,2,-1100,-1.9,57800,57800,56200,243024,13876685450,9974822079600,175922788,STK,ME005
000500,KR7000500009,가온전선,KOSPI,,328500,1,10000,3.14,333000,349500,325000,310119,104271136750,9781943899500,29777607,STK,ME005
005940,KR7005940002,NH투자증권,KOSPI,,26400,1,100,0.38,26600,26850,26300,270461,7176228100,9747041172000,369206105,STK,ME005
323410,KR7323410001,카카오뱅크,KOSPI,,20225,1,125,0.62,20300,20400,20150,247996,5022977500,9649760838325,477120437,STK,ME005
180640,KR7180640005,한진칼,KOSPI,,142400,1,3900,2.82,139200,143500,139200,21475,3043928150,9506947960000,66762275,STK,ME005
003230,KR7003230000,삼양식품,KOSPI,,1253000,2,-23000,-1.8,1273000,1273000,1252000,22942,28876334000,9438867795000,7533015,STK,ME005
259960,KR7259960003,크래프톤,KOSPI,,202500,1,2500,1.25,202000,204000,200000,25303,5106114000,9263958457500,45747943,STK,ME005
007660,KR7007660004,이수페타시스,KOSPI,,114900,1,4600,4.17,114800,119800,112600,675386,78832370150,8434719263100,73409219,STK,ME005
0126Z0,KR70126Z0002,삼성에피스홀딩스,KOSPI,,337500,1,10500,3.21,331500,339500,331500,13309,4472092500,8398029037500,24883049,STK,ME005
090430,KR7090430000,아모레퍼시픽,KOSPI,,141200,2,-3800,-2.62,144800,145000,141100,82735,11859079800,8259177570800,58492759,STK,ME005
016360,KR7016360000,삼성증권,KOSPI,,90900,1,2700,3.06,89400,92200,88700,239845,21811677000,8117370000000,89300000,STK,ME005
047040,KR7047040001,대우건설,KOSPI,,18820,1,530,2.9,18830,19540,18540,5472291,103842573195,7733281747160,410907638,STK,ME005
161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,57900,2,-700,-1.19,59100,59600,57900,52529,3069572650,7172366495100,123875069,STK,ME005
000880,KR7000880005,한화,KOSPI,,132600,1,1300,0.99,132700,133300,130000,28242,3727682850,7071411742200,53328897,STK,ME005
021240,KR7021240007,코웨이,KOSPI,,98600,2,-900,-0.9,100700,102000,98200,48484,4811646650,6977668203600,70767426,STK,ME005
064400,KR7064400005,LG씨엔에스,KOSPI,,71700,1,2200,3.17,70500,71800,70500,319999,22762972450,6946722471600,96885948,STK,ME005
039490,KR7039490008,키움증권,KOSPI,,264500,3,0,0.0,268000,272500,263000,35145,9399608750,6937389582000,26228316,STK,ME005
352820,KR7352820005,하이브,KOSPI,,159300,2,-3200,-1.97,163200,163500,159100,131946,21201962450,6866918974800,43106836,STK,ME005
267270,KR7267270007,HD건설기계,KOSPI,,139700,1,3000,2.19,139100,145500,139000,159411,22713411450,6635384824200,47497386,STK,ME005
128940,KR7128940004,한미약품,KOSPI,,503000,2,-2000,-0.4,505000,508000,499000,31329,15764841000,6443928473000,12810991,STK,ME005
062040,KR7062040001,산일전기,KOSPI,,209500,1,4500,2.2,209500,215000,206000,140077,29543235500,6419677075000,30642850,STK,ME005
001440,KR7001440007,대한전선,KOSPI,,32150,1,2450,8.25,30500,33450,30000,7020366,227095162900,6301161961400,195992596,STK,ME005
009830,KR7009830001,한화솔루션,KOSPI,,27600,3,0,0.0,27800,28150,27450,541139,14967869775,6207033993600,224892536,STK,ME005
032640,KR7032640005,LG유플러스,KOSPI,,14590,1,100,0.69,14510,14610,14500,339398,4938990530,6192400609880,424427732,STK,ME005
326030,KR7326030004,SK바이오팜,KOSPI,,77600,3,0,0.0,78100,78400,77400,30765,2390148250,6077108200000,78313250,STK,ME005
000990,KR7000990002,DB하이텍,KOSPI,,132000,1,100,0.08,134500,134500,130100,286638,37812003750,5742605616000,43504588,STK,ME005
353200,KR7353200009,대덕전자,KOSPI,,115000,1,13100,12.86,110000,120700,109800,2300006,267642333650,5682946375000,49416925,STK,ME005
175330,KR7175330000,JB금융지주,KOSPI,,30200,2,-800,-2.58,31150,31350,29550,154914,4694610875,5632959084800,186521824,STK,ME005
241560,KR7241560002,두산밥캣,KOSPI,,58300,1,200,0.34,58500,59000,58100,51863,3028069200,5588408589500,95856065,STK,ME005
377300,KR7377300009,카카오페이,KOSPI,,41200,1,1300,3.26,40550,42150,40550,239762,9941459625,5574385626400,135300622,STK,ME005
000100,KR7000100008,유한양행,KOSPI,,75100,2,-500,-0.66,75700,76000,74900,74224,5586492650,5528545153100,73615781,STK,ME005
052690,KR7052690005,한전기술,KOSPI,,131700,1,2100,1.62,131100,136800,125500,703394,92284245600,5033574000000,38220000,STK,ME005
029780,KR7029780004,삼성카드,KOSPI,,42700,2,-550,-1.27,43350,43550,42650,69067,2966229575,4947174645700,115858891,STK,ME005
088350,KR7088350004,한화생명,KOSPI,,5620,2,-160,-2.77,5790,5860,5570,2724445,15462096075,4881138600000,868530000,STK,ME005
138930,KR7138930003,BNK금융지주,KOSPI,,15580,2,-170,-1.08,15710,15860,15540,231936,3616845840,4780563320580,306839751,STK,ME005
004020,KR7004020004,현대제철,KOSPI,,35750,1,650,1.85,35500,36050,35300,276240,9863944675,4770686813750,133445785,STK,ME005
036570,KR7036570000,NC,KOSPI,,217500,1,11000,5.33,208000,218000,208000,45580,9726429750,4685824785000,21544022,STK,ME005
454910,KR7454910001,두산로보틱스,KOSPI,,71600,1,2000,2.87,70900,72100,70400,194976,13930500250,4641110568000,64819980,STK,ME005
051900,KR7051900009,LG생활건강,KOSPI,,297000,2,-2000,-0.67,299500,304500,296000,21904,6583189250,4447730331000,14975523,STK,ME005
011790,KR7011790003,SKC,KOSPI,,89400,1,1400,1.59,89700,90600,89100,70762,6359904550,4434087841200,49598298,STK,ME005
066970,KR7066970005,엘앤에프,KOSPI,,108800,1,1300,1.21,109100,110000,106400,201469,21678277250,4426656819200,40686184,STK,ME005
271560,KR7271560005,오리온,KOSPI,,110600,2,-600,-0.54,111600,111900,109800,42210,4668126000,4371883952800,39528788,STK,ME005
034220,KR7034220004,LG디스플레이,KOSPI,,8550,1,30,0.35,8620,8650,8410,1790753,15251466200,4275000000000,500000000,STK,ME005
082740,KR7082740002,한화엔진,KOSPI,,49350,2,-550,-1.1,50500,50700,49150,373317,18506294200,4118116457700,83447142,STK,ME005
002380,KR7002380004,KCC,KOSPI,,468500,1,3500,0.75,482500,487500,466500,9439,4464925250,4025771776000,8592896,STK,ME005
001450,KR7001450006,현대해상,KOSPI,,47150,2,-1950,-3.97,48600,48950,47100,180186,8570769425,4019454987500,85248250,STK,ME005
001040,KR7001040005,CJ,KOSPI,,129800,1,1100,0.85,129800,130300,128000,33047,4263892750,3787174340400,29176998,STK,ME005
103590,KR7103590006,일진전기,KOSPI,,77800,1,4800,6.58,75200,78500,73700,409319,31601892100,3709923342000,47685390,STK,ME005
010060,KR7010060002,OCI홀딩스,KOSPI,,189500,2,-1500,-0.79,193700,195800,189000,156836,29853315400,3538008964000,18670232,STK,ME005
018880,KR7018880005,한온시스템,KOSPI,,3365,1,20,0.6,3390,3460,3350,1381024,4698187662,3453335765830,1026251342,STK,ME005
008930,KR7008930000,한미사이언스,KOSPI,,50100,2,-700,-1.38,50900,51200,50000,37191,1877035150,3426416655000,68391550,STK,ME005
161890,KR7161890009,한국콜마,KOSPI,,144800,2,-700,-0.48,145600,150500,144300,161767,23734077250,3418015149600,23605077,STK,ME005
004170,KR7004170007,신세계,KOSPI,,358500,1,1000,0.28,360000,361500,355500,21885,7822285250,3386097388500,9445181,STK,ME005
036460,KR7036460004,한국가스공사,KOSPI,,35800,1,250,0.7,35700,35850,35150,42807,1519661975,3304805400000,92313000,STK,ME005
375500,KR7375500006,DL이앤씨,KOSPI,,85000,2,-100,-0.12,86600,87200,84200,103577,8840816800,3288957955000,38693623,STK,ME005
006360,KR7006360002,GS건설,KOSPI,,37200,1,600,1.64,37450,38000,36550,704171,26276744575,3183631428000,85581490,STK,ME005
111770,KR7111770004,영원무역,KOSPI,,71400,3,0,0.0,71900,72600,70900,29873,2131706850,3163838815200,44311468,STK,ME005
336260,KR7336260005,두산퓨얼셀,KOSPI,,48000,2,-150,-0.31,48050,48600,47300,405128,19400357550,3143698848000,65493726,STK,ME005
012750,KR7012750006,에스원,KOSPI,,82600,2,-1000,-1.2,83500,84500,82200,13181,1094161400,3138732102800,37999178,STK,ME005
023530,KR7023530009,롯데쇼핑,KOSPI,,110700,1,1200,1.1,110200,111100,106200,54565,5954424850,3131565178500,28288755,STK,ME005
022100,KR7022100002,포스코DX,KOSPI,,20550,1,200,0.98,20650,20700,20450,61242,1258769825,3124313680950,152034729,STK,ME005
028670,KR7028670008,팬오션,KOSPI,,5740,2,-50,-0.86,5870,5870,5700,499466,2872595015,3068428998880,534569512,STK,ME005
035250,KR7035250000,강원랜드,KOSPI,,14330,3,0,0.0,14460,14460,14320,67506,968557050,3065767365000,213940500,STK,ME005
192820,KR7192820009,코스맥스,KOSPI,,267000,2,-8000,-2.91,274000,277000,266500,24536,6635740250,3030318903000,11349509,STK,ME005
011780,KR7011780004,금호석유화학,KOSPI,,117300,2,-2100,-1.76,120400,120500,117300,32210,3806078900,2950954222500,25157325,STK,ME005
017800,KR7017800004,현대엘리베이터,KOSPI,,74000,3,0,0.0,74300,74700,73900,40662,3018325450,2892836490000,39092385,STK,ME005
031210,KR7031210008,서울보증보험,KOSPI,,41250,2,-200,-0.48,41750,42000,41250,16185,670860675,2880140917500,69821598,STK,ME005
007340,KR7007340003,DN오토모티브,KOSPI,,48950,2,-250,-0.51,49850,50500,48800,51725,2579218450,2864106841750,58510865,STK,ME005
251270,KR7251270005,넷마블,KOSPI,,34350,2,-200,-0.58,34750,34800,34200,41699,1435743025,2856491898750,83158425,STK,ME005
139130,KR7139130009,iM금융지주,KOSPI,,17890,2,-180,-1.0,18180,18190,17840,88097,1578262200,2833121369120,158363408,STK,ME005
302440,KR7302440003,SK바이오사이언스,KOSPI,,35700,1,50,0.14,35800,36150,35600,26238,937138150,2800898942100,78456553,STK,ME005
004800,KR7004800009,효성,KOSPI,,165100,1,2100,1.29,165000,167900,164200,7372,1219858450,2763841195700,16740407,STK,ME005
011170,KR7011170008,롯데케미칼,KOSPI,,63300,2,-300,-0.47,64100,64850,62600,59245,3778427950,2707684022700,42775419,STK,ME005
085620,KR7085620003,미래에셋생명,KOSPI,,19980,1,630,3.26,19400,20150,19400,83313,1656198710,2700896400000,135180000,STK,ME005
097950,KR7097950000,CJ제일제당,KOSPI,,173700,2,-900,-0.52,175500,175700,173500,29783,5185541650,2614912108200,15054186,STK,ME005
