종목/종류,지수,등락률,추이,외국인(억),개인(억),기관(억)
코스피,"6,813.34",+3.56%,▲,6737,-4297,-2223
코스닥,861.37,+0.29%,▲,-495,711,-238
USD/KRW,"1,415.68",-0.06%,▼,-,-,-
