Date,Time,Market,Foreign_Net,Individual_Net,Institutional_Net
20260820,09:36,코스닥,-1047,806,235
20260820,11:04,코스닥,-1285,719,499
20260820,12:06,코스닥,-1325,629,618
20260820,12:54,코스닥,-1135,309,736
20260820,13:26,코스닥,-1158,238,834
20260820,14:01,코스닥,-1228,288,847
20260820,14:40,코스닥,-1226,206,911
20260820,15:01,코스닥,-1248,137,983
20260820,09:36,코스피,-717,2099,-2533
20260820,11:04,코스피,5761,-12689,3351
20260820,12:06,코스피,7989,-16644,3321
20260820,12:54,코스피,8671,-20118,4680
20260820,13:26,코스피,11258,-24404,5436
20260820,14:01,코스피,12096,-24880,3950
20260820,14:40,코스피,12703,-24408,1685
20260820,15:01,코스피,12721,-22750,-554
