Code,Name,Total_Score,Sell_Score,Score_Momentum,Score_Supply,Score_Volume,Score_MA,Score_Candle,Close,ChagesRatio,Amount,Sector,Sector_Mult,Vol_Penalty,Market_Penalty,Market_Condition
067290,JW신약,33.9,15.0,20.0,15.0,2.9,7.0,8.0,2225.0,2.06,13200467280,바이오,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
062040,산일전기,33.7,15.0,16.0,15.0,2.6,4.0,15.0,183800.0,16.85,18285106000,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
950160,코오롱티슈진,33.5,0.0,16.0,15.0,1.4,5.0,15.0,19330.0,9.46,16794388600,기타,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
321370,센서뷰,33.4,15.0,16.0,15.0,2.2,4.0,15.0,1513.0,17.65,2606976083,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
043260,성호전자,33.2,15.0,16.0,15.0,1.9,4.0,15.0,20650.0,19.99,21384551010,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
005380,현대차,32.8,0.0,15.7,15.0,0.5,10.0,10.0,408000.0,3.16,36191508000,자동차,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
240810,원익IPS,32.7,0.0,16.0,15.0,2.8,8.0,12.0,98400.0,11.44,61347911900,반도체,0.95,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
024840,KBI메탈,32.6,25.0,16.0,15.0,6.0,6.0,8.0,5300.0,10.19,23269855560,금속,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
126730,코칩,32.3,25.0,18.0,15.0,1.1,4.0,15.0,15420.0,4.97,2344801450,반도체,0.95,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
006400,삼성SDI,32.2,0.0,18.1,15.0,1.3,8.0,8.0,481500.0,4.9,39280533500,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
080220,제주반도체,32.0,25.0,16.0,15.0,3.6,6.0,12.0,87700.0,16.31,123391768500,반도체,0.95,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
086520,에코프로,31.9,15.0,16.1,15.0,2.3,4.0,15.0,93500.0,8.72,32189013900,금융,0.95,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
034020,두산에너빌리티,31.7,0.0,17.5,15.0,1.1,8.0,8.0,79900.0,3.63,29982133000,기계·장비,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
042700,한미반도체,31.6,0.0,14.2,15.0,0.8,10.0,12.0,205500.0,6.86,25099128000,반도체,0.95,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
001290,상상인증권,31.2,25.0,18.0,15.0,4.7,6.0,5.0,1205.0,0.17,1209137380,증권,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
066570,LG전자,31.1,0.0,20.0,15.0,0.7,8.0,5.0,190000.0,2.7,42134717900,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
053260,금강철강,30.7,15.0,16.0,15.0,6.0,6.0,5.0,5820.0,9.4,2089473120,금속,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
005490,POSCO홀딩스,29.8,0.0,18.0,15.0,0.6,8.0,5.0,336000.0,1.51,9353935500,금속,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
329180,HD현대중공업,29.8,0.0,17.6,15.0,0.9,8.0,5.0,532000.0,5.14,20155344000,자동차,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
477850,마키나락스,29.7,25.0,16.0,15.0,1.4,6.0,8.0,32850.0,13.08,16467232750,IT 서비스,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
011330,유니켐,28.9,30.4,12.0,15.0,7.1,6.0,5.0,5750.0,-2.71,1623940070,자동차,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
062970,한국첨단소재,28.9,25.3,16.0,15.0,2.1,4.0,8.0,3015.0,-0.17,2818013090,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
298040,효성중공업,28.5,0.0,16.5,15.0,1.0,7.0,5.0,2934000.0,3.6,19017900000,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
463020,뉴엔AI,28.4,35.0,20.0,15.0,1.4,3.0,5.0,12000.0,1.27,3265398360,IT 서비스,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
042660,한화오션,28.4,0.0,15.4,15.0,1.0,8.0,5.0,94400.0,5.59,20418612000,자동차,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
010060,OCI홀딩스,28.3,15.0,18.3,15.0,2.3,6.0,5.0,284500.0,4.4,31156846500,금융,0.95,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
012330,현대모비스,28.3,0.0,16.6,15.0,0.6,7.0,5.0,505000.0,1.71,23011100000,자동차,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
0039P0,매드업,28.1,15.0,20.0,15.0,1.0,3.0,5.0,9770.0,2.3,7727293310,일반서비스,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
055550,신한지주,27.9,6.5,6.6,15.0,1.2,13.0,5.0,106400.0,-3.27,18390338000,금융,0.95,0.9,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
035420,NAVER,26.2,0.0,10.0,15.0,0.9,7.0,8.0,211500.0,0.71,45082515000,IT 서비스,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
008830,대동기어,26.1,25.0,6.7,15.0,7.1,0.0,12.0,6300.0,7.69,2734329150,기계·장비,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
011070,LG이노텍,25.7,15.0,14.7,15.0,0.5,0.0,10.0,555000.0,0.54,20221863000,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
005930,삼성전자,24.4,15.9,9.2,15.0,0.9,0.0,15.0,230000.0,-0.43,846527439000,반도체,0.95,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
012450,한화에어로스페이스,23.8,15.0,18.0,15.0,1.4,6.0,5.0,1152000.0,5.01,35337360000,항공운송,0.82,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
475150,SK이터닉스,23.5,15.0,11.6,15.0,2.1,0.0,8.0,51300.0,1.58,100259068000,건설,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
032830,삼성생명,23.2,15.0,14.7,15.0,0.4,0.0,8.0,280500.0,1.81,8382374000,금융,0.95,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
267260,HD현대일렉트릭,22.7,8.0,14.7,15.0,0.7,0.0,5.0,764000.0,0.26,13282425000,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
105560,KB금융,22.2,19.7,7.3,15.0,1.2,0.0,5.0,171700.0,-2.33,29838520700,금융,0.95,0.9,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
079550,LIG디펜스앤에어로스페이스,22.1,0.0,11.0,15.0,1.1,10.0,5.0,823000.0,11.07,17146206000,항공운송,0.82,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
009150,삼성전기,21.3,8.6,12.3,15.0,0.9,0.0,5.0,1274000.0,-0.31,176659264000,전기·전자,1.0,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
086790,하나금융지주,20.6,14.4,6.0,15.0,1.1,0.0,8.0,130400.0,-3.19,13451429300,금융,0.95,0.9,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
402340,SK스퀘어,20.4,25.0,10.0,15.0,0.6,0.0,8.0,949000.0,1.06,91007532000,금융,0.95,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
017670,SK텔레콤,17.9,15.3,1.2,15.0,1.0,0.0,10.0,85000.0,-3.63,16128515000,통신,1.03,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
000660,SK하이닉스,16.4,25.3,6.0,15.0,0.9,0.0,5.0,1420000.0,-0.14,1116543181000,반도체,0.95,0.8,0.8,중립 (1d:3.8% 3d:1.2% 5d:8.3%) | ⚡극단변동성(σ=6.8%)
