항목,값
테스트 기간,2021-06-29 ~ 2026-06-29 (5년)
대상 자산군,코스닥 시가총액 상위 50개 종목
총 거래 횟수,4279회 (종목당 평균 85.6회)
평균 거래 승률,35.14%
평균 1회 거래 수익률,+1.31%
전략 평균 누적 수익률,+136.94%
대상 종목 단순 보유 수익률,+471.08%
동기간 코스닥 지수 수익률,-9.97%
최고 성과 종목,에코프로 (+1105.25%)
최저 성과 종목,서진시스템 (-100.00%)
