항목,값
분석 기간,2026-01-02 ~ 2026-06-05
총 거래일수,103일
KOSPI 연초대비 수익률,+89.36%
KOSDAQ 연초대비 수익률,+6.01%
연환산 변동성(σ),52.6%
최대 낙폭(MDD),-19.89%
급락일(매도사이드카 추정),17일
급등일(매수사이드카 추정),26일
고저폭 4% 이상 극단 변동일,21일
고변동성 레짐(10일σ≥2%)일수,70일
극단 변동성 레짐(10일σ≥2.5%)일수,60일
