항목,값
테스트 기간,2026-01-02 ~ 2026-06-06
총 테스트 거래일,98일
종목 유니버스,200개
평균 5일 수익률 (TOP10),+3.60%
KOSPI 동기간 평균 수익률,+3.55%
평균 초과 수익률 (알파),+0.05%
5일 수익률 양봉 비율,75.5%
시장 초과 달성 비율,49.0%
최고 5일 수익률,+18.81%
최저 5일 수익률,-16.07%
수익률 표준편차,6.99%
정보 비율 (IR),0.01
