월,거래일수,KOSPI_누적수익(%),KOSDAQ_누적수익(%),KOSPI_일간σ(%),KOSPI_최대상승(%),KOSPI_최대하락(%),최대고저폭(%),급락일(매도사이드카추정),급등일(매수사이드카추정),극단변동일(4%이상)
2026-01,21,21.71,22.2,0.99,3.43,-0.81,3.92,0,1,0
2026-02,17,18.61,4.27,2.95,6.84,-5.26,5.04,2,6,2
2026-03,21,-18.68,-9.69,4.85,9.63,-12.06,10.58,7,5,7
2026-04,22,27.59,13.12,2.69,8.44,-4.47,7.38,1,3,2
2026-05,18,26.25,-9.75,3.51,8.42,-6.12,8.46,6,10,8
2026-06,4,-3.55,-6.78,3.85,3.68,-5.54,4.9,1,1,2
